Question	Answer	Source	Metadata
What type of Pokémon is Treecko?	Treecko is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/253	{}
How tall is Treecko?	Treecko is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/253	{}
Where can I find a Treecko?	Treecko is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/253	{}
How much does Treecko weigh?	The average Treecko is about 5 kilograms.	https://pokeapi.co/api/v2/pokemon/253	{}
What color is a Treecko?	Usually, Treecko is green.	https://pokeapi.co/api/v2/pokemon/253	{}
Tell me about Treecko.	Treecko is cool, calm, and collected—it never panics under
any situation. If a bigger foe were to glare at this Pokémon,
it would glare right back without conceding an inch of ground.	https://pokeapi.co/api/v2/pokemon/253	{}
What type of Pokémon is Grovyle?	Grovyle is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/254	{}
How tall is Grovyle?	Grovyle is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/254	{}
Where can I find a Grovyle?	Grovyle is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/254	{}
How much does Grovyle weigh?	The average Grovyle is about 21.6 kilograms.	https://pokeapi.co/api/v2/pokemon/254	{}
What color is a Grovyle?	Usually, Grovyle is green.	https://pokeapi.co/api/v2/pokemon/254	{}
Tell me about Grovyle.	This Pokémon adeptly flies from branch to branch in trees.
In a forest, no Pokémon can ever hope to catch a fleeing
Grovyle however fast they may be.	https://pokeapi.co/api/v2/pokemon/254	{}
What type of Pokémon is Sceptile?	Sceptile is a grass Pokémon.	https://pokeapi.co/api/v2/pokemon/255	{}
How tall is Sceptile?	Sceptile is 1.7 meters tall.	https://pokeapi.co/api/v2/pokemon/255	{}
Where can I find a Sceptile?	Sceptile is commonly found in the forest.	https://pokeapi.co/api/v2/pokemon/255	{}
How much does Sceptile weigh?	The average Sceptile is about 52.2 kilograms.	https://pokeapi.co/api/v2/pokemon/255	{}
What color is a Sceptile?	Usually, Sceptile is green.	https://pokeapi.co/api/v2/pokemon/255	{}
Tell me about Sceptile.	Sceptile has seeds growing on its back. They are said to be
bursting with nutrients that revitalize trees. This Pokémon
raises the trees in a forest with loving care.	https://pokeapi.co/api/v2/pokemon/255	{}
What type of Pokémon is Torchic?	Torchic is a fire Pokémon.	https://pokeapi.co/api/v2/pokemon/256	{}
How tall is Torchic?	Torchic is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/256	{}
Where can I find a Torchic?	Torchic is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/256	{}
How much does Torchic weigh?	The average Torchic is about 2.5 kilograms.	https://pokeapi.co/api/v2/pokemon/256	{}
What color is a Torchic?	Usually, Torchic is red.	https://pokeapi.co/api/v2/pokemon/256	{}
Tell me about Torchic.	Torchic has a place inside its body where it keeps its flame.
Give it a hug—it will be glowing with warmth. This Pokémon is
covered all over by a fluffy coat of down.	https://pokeapi.co/api/v2/pokemon/256	{}
What type of Pokémon is Combusken?	Combusken is a fighting/fire Pokémon.	https://pokeapi.co/api/v2/pokemon/257	{}
How tall is Combusken?	Combusken is 0.9 meters tall.	https://pokeapi.co/api/v2/pokemon/257	{}
Where can I find a Combusken?	Combusken is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/257	{}
How much does Combusken weigh?	The average Combusken is about 19.5 kilograms.	https://pokeapi.co/api/v2/pokemon/257	{}
What color is a Combusken?	Usually, Combusken is red.	https://pokeapi.co/api/v2/pokemon/257	{}
Tell me about Combusken.	Combusken battles with the intensely hot flames it spews from
its beak and with outstandingly destructive kicks. This
Pokémon’s cry is very loud and distracting.	https://pokeapi.co/api/v2/pokemon/257	{}
What type of Pokémon is Blaziken?	Blaziken is a fighting/fire Pokémon.	https://pokeapi.co/api/v2/pokemon/258	{}
How tall is Blaziken?	Blaziken is 1.9 meters tall.	https://pokeapi.co/api/v2/pokemon/258	{}
Where can I find a Blaziken?	Blaziken is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/258	{}
How much does Blaziken weigh?	The average Blaziken is about 52 kilograms.	https://pokeapi.co/api/v2/pokemon/258	{}
What color is a Blaziken?	Usually, Blaziken is red.	https://pokeapi.co/api/v2/pokemon/258	{}
Tell me about Blaziken.	Blaziken has incredibly strong legs—it can easily clear a
30-story building in one leap. This Pokémon’s blazing punches
leave its foes scorched and blackened.	https://pokeapi.co/api/v2/pokemon/258	{}
What type of Pokémon is Mudkip?	Mudkip is a water Pokémon.	https://pokeapi.co/api/v2/pokemon/259	{}
How tall is Mudkip?	Mudkip is 0.4 meters tall.	https://pokeapi.co/api/v2/pokemon/259	{}
Where can I find a Mudkip?	Mudkip is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/259	{}
How much does Mudkip weigh?	The average Mudkip is about 7.6 kilograms.	https://pokeapi.co/api/v2/pokemon/259	{}
What color is a Mudkip?	Usually, Mudkip is blue.	https://pokeapi.co/api/v2/pokemon/259	{}
Tell me about Mudkip.	In water, Mudkip breathes using the gills on its cheeks. If it is
faced with a tight situation in battle, this Pokémon will unleash
its amazing power—it can crush rocks bigger than itself.	https://pokeapi.co/api/v2/pokemon/259	{}
What type of Pokémon is Marshtomp?	Marshtomp is a ground/water Pokémon.	https://pokeapi.co/api/v2/pokemon/260	{}
How tall is Marshtomp?	Marshtomp is 0.7 meters tall.	https://pokeapi.co/api/v2/pokemon/260	{}
Where can I find a Marshtomp?	Marshtomp is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/260	{}
How much does Marshtomp weigh?	The average Marshtomp is about 28 kilograms.	https://pokeapi.co/api/v2/pokemon/260	{}
What color is a Marshtomp?	Usually, Marshtomp is blue.	https://pokeapi.co/api/v2/pokemon/260	{}
Tell me about Marshtomp.	Marshtomp is much faster at traveling through mud than it is at
swimming. This Pokémon’s hindquarters exhibit obvious
development, giving it the ability to walk on just its hind legs.	https://pokeapi.co/api/v2/pokemon/260	{}
What type of Pokémon is Swampert?	Swampert is a ground/water Pokémon.	https://pokeapi.co/api/v2/pokemon/261	{}
How tall is Swampert?	Swampert is 1.5 meters tall.	https://pokeapi.co/api/v2/pokemon/261	{}
Where can I find a Swampert?	Swampert is commonly found in the waters-edge.	https://pokeapi.co/api/v2/pokemon/261	{}
How much does Swampert weigh?	The average Swampert is about 81.9 kilograms.	https://pokeapi.co/api/v2/pokemon/261	{}
What color is a Swampert?	Usually, Swampert is blue.	https://pokeapi.co/api/v2/pokemon/261	{}
Tell me about Swampert.	Swampert predicts storms by sensing subtle differences in the
sounds of waves and tidal winds with its fins. If a storm is
approaching, it piles up boulders to protect itself.	https://pokeapi.co/api/v2/pokemon/261	{}
What type of Pokémon is Poochyena?	Poochyena is a dark Pokémon.	https://pokeapi.co/api/v2/pokemon/262	{}
How tall is Poochyena?	Poochyena is 0.5 meters tall.	https://pokeapi.co/api/v2/pokemon/262	{}
Where can I find a Poochyena?	Poochyena is commonly found in the grassland.	https://pokeapi.co/api/v2/pokemon/262	{}
How much does Poochyena weigh?	The average Poochyena is about 13.6 kilograms.	https://pokeapi.co/api/v2/pokemon/262	{}
What color is a Poochyena?	Usually, Poochyena is gray.	https://pokeapi.co/api/v2/pokemon/262	{}
Tell me about Poochyena.	Poochyena is an omnivore—it will eat anything. A distinguishing
feature is how large its fangs are compared to its body. This
Pokémon tries to intimidate its foes by making the hair on its
tail bristle out.	https://pokeapi.co/api/v2/pokemon/262	{}
What type of Pokémon is Mightyena?	Mightyena is a dark Pokémon.	https://pokeapi.co/api/v2/pokemon/263	{}
